District,School Name,City,Report Period,Total Cases,Academic Year,Date Updated
Andover School District,Andover Elementary School,Andover,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,P.A.C.E. (Positive And Creative Education),Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Assumption-Ansonia,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Julia Day Nursery Inc.,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Mead School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Team Early Education  Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,P.A.C.E. - PM (Positive And Creative Education - PM),Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Team Early Education Harry Ford Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Derby School District,"Disability Resource Network, Inc. - Derby",Derby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Lower Naugatuck Valley School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Valley YMCA Child Care Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,TEAM Early Education - Home Visiting,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Prendergast School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia Public Schools Pre-K Program,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia 18-21 Transition Program,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia Middle School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia High School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ashford School District,Ashford School,Ashford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Avon School District,Avon Early Learning Center at Roaring Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Farmington Valley Academy Montessori,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Roaring Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Pine Grove School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Thompson Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon Middle School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon High School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon Old Farms School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,The Webb School in the Valley,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Oak Hill School at Farmington Valley Montessori,Avon,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Barkhamsted School District,Barkhamsted Elementary School,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Barkhamsted School District,Bridges at Barkhamsted Elementary School,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Barkhamsted School District,Shared Services Integrated Preschool,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Berlin School District,Richard D. Hubbard School,East Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Transition Academy,Berlin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Berlin School District,Emma Hart Willard School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Mary E. Griswold School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Catherine M. McGee Middle School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Saint Paul School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Berlin High School,Berlin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethany School District,Bethany Community School,Bethany,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Frank A. Berry School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Saint Mary School-Bethel,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,YMCA Children's Center,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Ability Beyond,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Community Partnership Program,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,TASK,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Anna H. Rockwell School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Ralph M. T. Johnson School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Bethel Middle School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Bethel High School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,The Woodhall School,Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,Arch Bridge School,Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,"Employment Options, LLC",Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Steps to Success,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Bloomfield Early Learning Center Inc.,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,First Congregational Church Nursery School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,CRT Eric D Coleman ECE Center,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,"Village for Families and Children, Bloomfield - Home Visiting",Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Metacomet School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,The First Academy,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Laurel School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Carmen Arace Intermediate School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Wintonbury Early Childhood Magnet School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Carmen Arace Middle School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Talcott Mt. Academy of Science Math & Technology,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Donald F. Harris Sr. AgriScience & Technology Center,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Bloomfield High School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Global Experience Magnet School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Leadership Prep Academy for Young Men,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Learning Academy at Bloomfield,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bolton School District,Bolton Center School,Bolton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bolton School District,Bolton Transition Program,Bolton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bolton School District,The King's School,Bolton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bolton School District,Bolton High School,Bolton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bozrah School District,Fields Memorial School,Bozrah,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,Branford Early Learning Center,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,Branford High School Horizons Program,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,East Shore Health District - Home Visiting,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,Access Transition Program,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,East Shoreline Catholic Academy,Branford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Branford School District,Mary T. Murphy School,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,Mary R. Tisko School,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,John B. Sliney School,Branford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Branford School District,Francis Walsh Intermediate School,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Branford School District,Branford High School,Branford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Branford School District,Indian Neck School,Branford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Barnum School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,A Child's World,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Beardsley School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,The University School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Black Rock School,Bridgeport,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Bridgeport School District,Bryant School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Columbus School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,"Biotechnology, Research & Zoological Studies Magnet High School",Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,"Disability Resource Network, Inc. - Bridgeport",Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Edison School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Catholic Academy of Bridgeport: St. Ann Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Lucille Johnson Site,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
West Haven School District,"Marrakech, Inc. - Island Lane Transitional Program",West Haven,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Cesar Batalla,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Inner City Children's Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Luis Munoz Marin School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Hall School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Stratford School District,ABCD Inc.-Johnson Academy,Stratford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Hallen School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Catholic Academy of Bridgeport: St. Augustine Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Jamie Hulley,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Thomas Hooker School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Bull's Head Hollow,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Cesar Batalla School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Information Technology & Software Engineering Magnet High School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport Military Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Park City Magnet School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Catholic Academy of Bridgeport: St. Raphael Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Zion Lutheran School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Care Around the Clock,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport Hope School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Housatonic Comm. College Lab School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Madison School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Kingdom's Little Ones,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Classical Studies Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Fairfield County SDA School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Precious Memories l,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Jettie S. Tisdale School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,St. Paul's Child Dev. Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport YMCA/SECC PALS 1,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,YMCA PALS V Day Care,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Read School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,St. Mark's Day Care,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Roosevelt School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport YMCA Kolbe,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Opportunities for Self-Discovery Community Partnership,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Black Rock Early Learning Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-West End Childcare Ctr,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Waltersville School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Kingdom's Little Ones Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Geraldine Claytor Magnet Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Trumbull Gardens,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Geraldine Johnson School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Precious Memories ll,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.-Bullard Havens,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Kingdom's Little Ones Academy II,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,John Winthrop School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Affordable and Loving CC II,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Interdistrict Discovery Magnet School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,"Cheyenne’s Early Learning Center, LLC",Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,"Lovable Angels Childcare Learning Center, Inc.",Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Wilbur Cross School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Precious Memories IV,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Blackham School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD Inc.- Charles B Tisdale Early Learning Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Paul Laurence Dunbar School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Child and Family Guidance Center - Home Visiting,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,James J. Curiale School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport Hospital Foundation - Home Visiting,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,City of Bridgeport - Home Visiting,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,A.B. Skane Center,Bridgeport,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Bridgeport School District,Optimus Health Center - Home Visiting,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,High Horizons Magnet School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Lindsey's House Early Learning Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Multicultural Magnet School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,ABCD @ Harding High School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Precious Memories lll,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Catholic Academy of Bridgeport: St. Andrew Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bassick High School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Kolbe Cathedral High School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Central High School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Warren Harding High School,Bridgeport,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Bridgeport School District,Bridgeport Regional Vocational Aquaculture School,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport International Academy,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bridgeport School District,Bridgeport Learning Center,Bridgeport,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Immanuel Lutheran-Bristol,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,BCO/Bristol Head Start (thru CRT),Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,ACCESS,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Oak Hill School at Chapter 126,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Edgewood School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Preschool Child Care Center - West St.,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Early Childhood Center-BECC,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Saint Joseph-Bristol,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Preschool Learning Ctr Imagination Museum,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Greene-Hills School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Saint Matthew,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Preschool Child Care Center - School Street,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Hartford School District,Oak Hill School at Hartford Secondary,Hartford,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,"CW Resources, Inc. School to Work Transition Services - Bristol",Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Head Start (thru CRT),Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Chippens Hilll Middle School Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Connecticut Junior Republic-Bristol,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Greene-Hills GOAL,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Chippens Hill Middle School Functional Program,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Preschool Child Care Center - Burlington Avenue,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,South Side School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,The Parent and Child Center at Bristol Hospital - Home Visiting,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Stafford School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Ellen P. Hubbell School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Chippens Hill Middle School Medically Fragile,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Mountain View School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Ivy Drive School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,West Bristol School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Hubbell/Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Ivy Drive Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Ivy Drive Medically Fragile,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Mt. View Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Mt. View GOAL,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Ivy Drive GOAL,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Northeast MS/Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Northeast MS/GOAL,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,BECC Autism,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,South Side Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,South Side GOAL,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Stafford Autism,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Preparatory Academy,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Chms Goal,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,West bristol Extended Resource,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Hubbell Autism Program,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Chippens Hill Middle School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Northeast Middle School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Central High School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Saint Paul Catholic High School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Bristol Eastern High School,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Alternative Special Education Program (ASEP),Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bristol School District,Community/Vocational Program,Bristol,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,St. Joseph Catholic Academy,Brookfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,Center Elementary School,Brookfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,Christian Life Academy,Brookfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,Huckleberry Hill Elementary School,Brookfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,Whisconier Middle School,Brookfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brookfield School District,Brookfield High School,Brookfield,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Brooklyn School District,Brooklyn Elementary School,Brooklyn,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brooklyn School District,Carelot Children's Center Inc - South Main St.,Brooklyn,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brooklyn School District,The Learning Clinic,Brooklyn,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Brooklyn School District,Brooklyn Middle School,Brooklyn,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canaan School District,Lee H. Kellogg School,Falls Village,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canterbury School District,Canterbury Elementary School,Canterbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canterbury School District,Dr. Helen Baldwin Middle School,Canterbury,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canton School District,Fresh Start School,Canton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canton School District,Cherry Brook Primary School,Canton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Farmington School District,FAVRAH - River Bend Transition Academy,Farmington,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canton School District,Canton Intermediate School,Canton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canton School District,Canton Academy,Canton,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Canton School District,Canton Middle School,Canton,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Canton School District,Canton Middle School,Canton,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Canton School District,Canton High School,Canton,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
